account_id,awg_engagement_rate,comment_engagement_rate,like_engagement_rate,followers,following,likes,top_videos,url,geografia,rango_edad_prioritario,porcentaje_mujeres,porcentaje_hombres,tópico 1,tópico 2,Rango de precio
303foodie,0.0158344690868541,0.0010159831495477,0.0148184859373064,1153,369,6843,"https://www.tiktok.com/@303foodie/video/7265310394711903530,https://www.tiktok.com/@303foodie/video/7264264780439964970,https://www.tiktok.com/@303foodie/video/7264247713246612778,https://www.tiktok.com/@303foodie/video/7263558340230303018,https://www.tiktok.com/@303foodie/video/7262774641431727403,https://www.tiktok.com/@303foodie/video/7260583093273218347,https://www.tiktok.com/@303foodie/video/7259415363195292974,https://www.tiktok.com/@303foodie/video/7256417497505910062,https://www.tiktok.com/@303foodie/video/7254604855921380654,https://www.tiktok.com/@303foodie/video/7253964111002733870,https://www.tiktok.com/@303foodie/video/7251981138363977006,https://www.tiktok.com/@303foodie/video/7250350614654307626,https://www.tiktok.com/@303foodie/video/7249525374181330218,https://www.tiktok.com/@303foodie/video/7248817814079950122,https://www.tiktok.com/@303foodie/video/7248284359105482026,https://www.tiktok.com/@303foodie/video/7247175913698266414,https://www.tiktok.com/@303foodie/video/7246416296072596779,https://www.tiktok.com/@303foodie/video/7243666902810135850,https://www.tiktok.com/@303foodie/video/7243201589203242282,https://www.tiktok.com/@303foodie/video/7242801501427485995,https://www.tiktok.com/@303foodie/video/7241603730783735082,https://www.tiktok.com/@303foodie/video/7240091951175929130,https://www.tiktok.com/@303foodie/video/7239538218461367595,https://www.tiktok.com/@303foodie/video/7239328206174686507,https://www.tiktok.com/@303foodie/video/7237559011430763819,https://www.tiktok.com/@303foodie/video/7237142481735781678,https://www.tiktok.com/@303foodie/video/7236733765777673514,https://www.tiktok.com/@303foodie/video/7236444869034626346,https://www.tiktok.com/@303foodie/video/7236142410613493035,https://www.tiktok.com/@303foodie/video/7234502365150235950,https://www.tiktok.com/@303foodie/video/7234168625450683694,https://www.tiktok.com/@303foodie/video/7232051265352568106,https://www.tiktok.com/@303foodie/video/7231532862481239339,https://www.tiktok.com/@303foodie/video/7230959585975176494,https://www.tiktok.com/@303foodie/video/7230824654351420714",https://www.tiktok.com/@undefined,"La Rioja, Logroño",25-34,74.8,25.2,Viajes,Alimentación y Recetas,30 – 150€
shadysamir505,0.0007451741615442,2.88471907688e-05,0.0007163269707753,112400,157,898600,"https://www.tiktok.com/@shadysamir505/video/7206562744164814085,https://www.tiktok.com/@shadysamir505/video/7203757994935471366,https://www.tiktok.com/@shadysamir505/video/7193452925514173701,https://www.tiktok.com/@shadysamir505/video/7189644054030945542,https://www.tiktok.com/@shadysamir505/video/7189128583317638406,https://www.tiktok.com/@shadysamir505/video/7189024123253771525,https://www.tiktok.com/@shadysamir505/video/7188862262201879813,https://www.tiktok.com/@shadysamir505/video/7188254301691710726,https://www.tiktok.com/@shadysamir505/video/7187792572562115846,https://www.tiktok.com/@shadysamir505/video/7187508608152653061,https://www.tiktok.com/@shadysamir505/video/7187147464804257029,https://www.tiktok.com/@shadysamir505/video/7187146720407506182,https://www.tiktok.com/@shadysamir505/video/7187068927132962053,https://www.tiktok.com/@shadysamir505/video/7186973063504760070,https://www.tiktok.com/@shadysamir505/video/7186734134348352774,https://www.tiktok.com/@shadysamir505/video/7186630666988064005,https://www.tiktok.com/@shadysamir505/video/7184126428978547973,https://www.tiktok.com/@shadysamir505/video/7183835833114430726,https://www.tiktok.com/@shadysamir505/video/7183835037249375494,https://www.tiktok.com/@shadysamir505/video/7182202594553548038,https://www.tiktok.com/@shadysamir505/video/7178471698138746117,https://www.tiktok.com/@shadysamir505/video/7167175354933579013,https://www.tiktok.com/@shadysamir505/video/7153610597135961349,https://www.tiktok.com/@shadysamir505/video/7148797804897455365,https://www.tiktok.com/@shadysamir505/video/7145561910451227909,https://www.tiktok.com/@shadysamir505/video/7136633430984363269,https://www.tiktok.com/@shadysamir505/video/7133222785567968518,https://www.tiktok.com/@shadysamir505/video/7130720925011512581,https://www.tiktok.com/@shadysamir505/video/7129764272325938438,https://www.tiktok.com/@shadysamir505/video/7129270470859410694,https://www.tiktok.com/@shadysamir505/video/7129220236531846405,https://www.tiktok.com/@shadysamir505/video/7129164810058583302,https://www.tiktok.com/@shadysamir505/video/7129081517397003525",https://www.tiktok.com/@undefined,"Extremadura, Badajoz",45-54,94.79,5.21,Salud y Bienestar,Deportes,"500 – 1,500€"
dog.m1lk,0.9732309027777776,0.0054079861111111,0.9678229166666666,19200,884,1500000,"https://www.tiktok.com/@dog.m1lk/video/7179383389588360490,https://www.tiktok.com/@dog.m1lk/video/7156454590978788651,https://www.tiktok.com/@dog.m1lk/video/7148870638466338090,https://www.tiktok.com/@dog.m1lk/video/7138838832459599150,https://www.tiktok.com/@dog.m1lk/video/7133014346413755691,https://www.tiktok.com/@dog.m1lk/video/7128229855392435502,https://www.tiktok.com/@dog.m1lk/video/7127704794822757675,https://www.tiktok.com/@dog.m1lk/video/7122989547474013486,https://www.tiktok.com/@dog.m1lk/video/7122251961851759918,https://www.tiktok.com/@dog.m1lk/video/7119917359388921134,https://www.tiktok.com/@dog.m1lk/video/7116152541171174699,https://www.tiktok.com/@dog.m1lk/video/7115117991745850667,https://www.tiktok.com/@dog.m1lk/video/7115083015293914411,https://www.tiktok.com/@dog.m1lk/video/7102473531161660715,https://www.tiktok.com/@dog.m1lk/video/7102420452609674542,https://www.tiktok.com/@dog.m1lk/video/7098576671351049515,https://www.tiktok.com/@dog.m1lk/video/7095039599902330154,https://www.tiktok.com/@dog.m1lk/video/7092481676705582379,https://www.tiktok.com/@dog.m1lk/video/7087049828022209835,https://www.tiktok.com/@dog.m1lk/video/7062488559143439662,https://www.tiktok.com/@dog.m1lk/video/7057382449638034734,https://www.tiktok.com/@dog.m1lk/video/7055533485867683118,https://www.tiktok.com/@dog.m1lk/video/7054228039147801903,https://www.tiktok.com/@dog.m1lk/video/7051663938924219695,https://www.tiktok.com/@dog.m1lk/video/7051460451963637038,https://www.tiktok.com/@dog.m1lk/video/7049433815563013423,https://www.tiktok.com/@dog.m1lk/video/7043446403342912814,https://www.tiktok.com/@dog.m1lk/video/7040706144293113134,https://www.tiktok.com/@dog.m1lk/video/7038748646384389381,https://www.tiktok.com/@dog.m1lk/video/7037972192428035334",https://www.tiktok.com/@undefined,"Islas Canarias, Las Palmas",35-44,63.06,36.94,Medio Ambiente,Animales,150 – 500€
by.charlxkimbx,0.0240697531622252,0.0012280486307257,0.0228417045314994,949,76,7674,"https://www.tiktok.com/@by.charlxkimbx/video/7101486963802295558,https://www.tiktok.com/@by.charlxkimbx/video/7101423982926253317,https://www.tiktok.com/@by.charlxkimbx/video/7101415963018464517,https://www.tiktok.com/@by.charlxkimbx/video/7101383379454561542,https://www.tiktok.com/@by.charlxkimbx/video/7101275878155504901,https://www.tiktok.com/@by.charlxkimbx/video/7101108684671028485,https://www.tiktok.com/@by.charlxkimbx/video/7101106293259226374,https://www.tiktok.com/@by.charlxkimbx/video/7101086127209188613,https://www.tiktok.com/@by.charlxkimbx/video/7101079415181856006,https://www.tiktok.com/@by.charlxkimbx/video/7101041887221517573,https://www.tiktok.com/@by.charlxkimbx/video/7101028462801997061,https://www.tiktok.com/@by.charlxkimbx/video/7101019051006201093,https://www.tiktok.com/@by.charlxkimbx/video/7100710672039709957,https://www.tiktok.com/@by.charlxkimbx/video/7100701908687523077,https://www.tiktok.com/@by.charlxkimbx/video/7100682597793058054,https://www.tiktok.com/@by.charlxkimbx/video/7100672482880900358,https://www.tiktok.com/@by.charlxkimbx/video/7100671317652851974,https://www.tiktok.com/@by.charlxkimbx/video/7100620781071109381,https://www.tiktok.com/@by.charlxkimbx/video/7100618645939866885,https://www.tiktok.com/@by.charlxkimbx/video/7100615854974340357,https://www.tiktok.com/@by.charlxkimbx/video/7100614888728448261,https://www.tiktok.com/@by.charlxkimbx/video/7100577833835154693,https://www.tiktok.com/@by.charlxkimbx/video/7100375803266993414,https://www.tiktok.com/@by.charlxkimbx/video/7100297710405782789,https://www.tiktok.com/@by.charlxkimbx/video/7100244267989273862,https://www.tiktok.com/@by.charlxkimbx/video/7100233808103918853,https://www.tiktok.com/@by.charlxkimbx/video/7100228766181494022,https://www.tiktok.com/@by.charlxkimbx/video/7100180399329905925,https://www.tiktok.com/@by.charlxkimbx/video/7100009200671034630,https://www.tiktok.com/@by.charlxkimbx/video/7099977332462505221,https://www.tiktok.com/@by.charlxkimbx/video/7099915383393619205,https://www.tiktok.com/@by.charlxkimbx/video/7099914014163062022,https://www.tiktok.com/@by.charlxkimbx/video/7099547414012398853,https://www.tiktok.com/@by.charlxkimbx/video/7099275202076445957",https://www.tiktok.com/@by.charlxkimbx,"Andalucía, Sevilla",45-54,89.71,10.29,Política,Noticias y Actualidad,30 – 150€
byperfects,0.5132629107981221,0.1105633802816901,0.4026995305164319,1704,961,3825,"https://www.tiktok.com/@byperfects/video/7070942745526816005,https://www.tiktok.com/@byperfects/video/7070930041177246981,https://www.tiktok.com/@byperfects/video/7070609015318777093,https://www.tiktok.com/@byperfects/video/7070550220156816646,https://www.tiktok.com/@byperfects/video/7070168335631076614",https://www.tiktok.com/@byperfects,"Asturias, Oviedo",18-24,92.3,7.7,Alimentación y Recetas,Salud y Bienestar,30 – 150€
bysfam,0.3548387096774194,0.1290322580645161,0.2258064516129032,970,27,7,https://www.tiktok.com/@bysfam/video/7205629655653797125,https://www.tiktok.com/@bysfam,"Islas Canarias, Las Palmas",25-34,73.15,26.85,Noticias y Actualidad,Política,30 – 150€
ipemipckuranjiofficial,0.0832049306625577,0.0146379044684129,0.0685670261941448,886,201,89,"https://www.tiktok.com/@ipemipckuranjiofficial/video/7188765871832091931,https://www.tiktok.com/@ipemipckuranjiofficial/video/7162086661239737627,https://www.tiktok.com/@ipemipckuranjiofficial/video/7157357946098224410,https://www.tiktok.com/@ipemipckuranjiofficial/video/7122008153075600666,https://www.tiktok.com/@ipemipckuranjiofficial/video/7121687375251623195,https://www.tiktok.com/@ipemipckuranjiofficial/video/7115979998753738011,https://www.tiktok.com/@ipemipckuranjiofficial/video/7051599118132677914,https://www.tiktok.com/@ipemipckuranjiofficial/video/7041611774021389594,https://www.tiktok.com/@ipemipckuranjiofficial/video/7041605626887294235,https://www.tiktok.com/@ipemipckuranjiofficial/video/7006675174703648027,https://www.tiktok.com/@ipemipckuranjiofficial/video/7006580032860589338",https://www.tiktok.com/@ipemipckuranjiofficial,"País Vasco, Bilbao",25-34,51.63,48.37,Inteligencia Artificial,Negocios y Finanzas,30 – 150€
xfrnchscx,0.3571428571428571,0.0119047619047619,0.3452380952380952,906,24,59,"https://www.tiktok.com/@xfrnchscx/video/52793262394052608,https://www.tiktok.com/@xfrnchscx/video/52792499655688192,https://www.tiktok.com/@xfrnchscx/video/52789874197553152,https://www.tiktok.com/@xfrnchscx/video/52788844693045248,https://www.tiktok.com/@xfrnchscx/video/52777412026982400,https://www.tiktok.com/@xfrnchscx/video/52686422960263168,https://www.tiktok.com/@xfrnchscx/video/50561269711282178",https://www.tiktok.com/@xfrnchscx,"Andalucía, Sevilla",25-34,55.35,44.65,Emprendimiento,Negocios y Finanzas,30 – 150€
xhiplikelindsey,0.2183257918552036,0.0090497737556561,0.2092760180995475,833,85,578,"https://www.tiktok.com/@xhiplikelindsey/video/149236696033714176,https://www.tiktok.com/@xhiplikelindsey/video/130152485108731904,https://www.tiktok.com/@xhiplikelindsey/video/130151360481722368,https://www.tiktok.com/@xhiplikelindsey/video/130136464616587264,https://www.tiktok.com/@xhiplikelindsey/video/130135787672645632,https://www.tiktok.com/@xhiplikelindsey/video/113857916717158401,https://www.tiktok.com/@xhiplikelindsey/video/113762849855856640,https://www.tiktok.com/@xhiplikelindsey/video/113126275925377024,https://www.tiktok.com/@xhiplikelindsey/video/112641903480737792,https://www.tiktok.com/@xhiplikelindsey/video/112039805038800896,https://www.tiktok.com/@xhiplikelindsey/video/112039307179089920,https://www.tiktok.com/@xhiplikelindsey/video/111979462681919488,https://www.tiktok.com/@xhiplikelindsey/video/111978762157568000,https://www.tiktok.com/@xhiplikelindsey/video/111978438319603712,https://www.tiktok.com/@xhiplikelindsey/video/111903557062209536,https://www.tiktok.com/@xhiplikelindsey/video/111584304274563072,https://www.tiktok.com/@xhiplikelindsey/video/111572916441382912,https://www.tiktok.com/@xhiplikelindsey/video/111189623208329216,https://www.tiktok.com/@xhiplikelindsey/video/111189204822380544,https://www.tiktok.com/@xhiplikelindsey/video/105510337612750848,https://www.tiktok.com/@xhiplikelindsey/video/105027918174543872,https://www.tiktok.com/@xhiplikelindsey/video/103295426602131456,https://www.tiktok.com/@xhiplikelindsey/video/99228098792996864,https://www.tiktok.com/@xhiplikelindsey/video/81539888956796928,https://www.tiktok.com/@xhiplikelindsey/video/77591101376741376,https://www.tiktok.com/@xhiplikelindsey/video/77579154941992960",https://www.tiktok.com/@xhiplikelindsey,"Islas Canarias, Las Palmas",18-24,90.82,9.18,Noticias y Actualidad,Medio Ambiente,30 – 150€
xgaqrieiiax,2.7870370370370368,0.7777777777777777,2.009259259259259,3835,8,217,"https://www.tiktok.com/@xgaqrieiiax/video/6916234482144021762,https://www.tiktok.com/@xgaqrieiiax/video/6916107837160590594,https://www.tiktok.com/@xgaqrieiiax/video/6915854207698455809,https://www.tiktok.com/@xgaqrieiiax/video/6915774841488510210,https://www.tiktok.com/@xgaqrieiiax/video/6915387382917319937,https://www.tiktok.com/@xgaqrieiiax/video/6914563665731554561,https://www.tiktok.com/@xgaqrieiiax/video/6912927797925203201,https://www.tiktok.com/@xgaqrieiiax/video/6912204419610184962,https://www.tiktok.com/@xgaqrieiiax/video/6912092475989462274",https://www.tiktok.com/@xgaqrieiiax,"Comunidad Valenciana, Valencia",35-44,66.56,33.44,Deportes,Psicología,30 – 150€
xhcallw,3.333333333333333,1.6666666666666667,1.6666666666666667,2225,25,11,https://www.tiktok.com/@xhcallw/video/7093667602626579717,https://www.tiktok.com/@xhcallw,"Extremadura, Badajoz",25-34,59.95,40.05,Medio Ambiente,Animales,30 – 150€
angelinalalch,0.0629232714188466,0.000949139356219,0.0619741320626276,7345,648,665500,"https://www.tiktok.com/@angelinalalch/video/7265874971337952555,https://www.tiktok.com/@angelinalalch/video/7264718076086881582,https://www.tiktok.com/@angelinalalch/video/7260316977195912491,https://www.tiktok.com/@angelinalalch/video/7259191430986485035,https://www.tiktok.com/@angelinalalch/video/7257289073885498670,https://www.tiktok.com/@angelinalalch/video/7255533433068309803,https://www.tiktok.com/@angelinalalch/video/7255156860615986478,https://www.tiktok.com/@angelinalalch/video/7253656070793547051,https://www.tiktok.com/@angelinalalch/video/7252541903349255470,https://www.tiktok.com/@angelinalalch/video/7252159608322805038,https://www.tiktok.com/@angelinalalch/video/7251427774223633706,https://www.tiktok.com/@angelinalalch/video/7249122964111936814,https://www.tiktok.com/@angelinalalch/video/7249080383856184619,https://www.tiktok.com/@angelinalalch/video/7249039308940741931,https://www.tiktok.com/@angelinalalch/video/7248269868003347758,https://www.tiktok.com/@angelinalalch/video/7247285480323091758,https://www.tiktok.com/@angelinalalch/video/7247214437147348267,https://www.tiktok.com/@angelinalalch/video/7246880014463978794,https://www.tiktok.com/@angelinalalch/video/7246161017502305578,https://www.tiktok.com/@angelinalalch/video/7245696534166392110,https://www.tiktok.com/@angelinalalch/video/7244360690096508206,https://www.tiktok.com/@angelinalalch/video/7242887079556926763,https://www.tiktok.com/@angelinalalch/video/7241636618170404138,https://www.tiktok.com/@angelinalalch/video/7241255787031465259,https://www.tiktok.com/@angelinalalch/video/7240958178853260586,https://www.tiktok.com/@angelinalalch/video/7240647059261377834,https://www.tiktok.com/@angelinalalch/video/7239809923792653611,https://www.tiktok.com/@angelinalalch/video/7239444486177295658,https://www.tiktok.com/@angelinalalch/video/7238387021767576874,https://www.tiktok.com/@angelinalalch/video/7235762616138878254,https://www.tiktok.com/@angelinalalch/video/7235424839933168942,https://www.tiktok.com/@angelinalalch/video/7230542382461111594,https://www.tiktok.com/@angelinalalch/video/7229730825443773742,https://www.tiktok.com/@angelinalalch/video/7229369701527293226,https://www.tiktok.com/@angelinalalch/video/7225354683932544299",https://www.tiktok.com/@undefined,"Murcia, Murcia",25-34,71.51,28.49,Medio Ambiente,Animales,30 – 150€
___k.h___,0.82734375,0.025,0.80234375,932,107,1051,"https://www.tiktok.com/@___k.h___/video/7028744191358323974,https://www.tiktok.com/@___k.h___/video/7020175599591329029,https://www.tiktok.com/@___k.h___/video/7017300883159403781,https://www.tiktok.com/@___k.h___/video/7012443237134683397,https://www.tiktok.com/@___k.h___/video/7012441677122063621,https://www.tiktok.com/@___k.h___/video/6858439969145359621,https://www.tiktok.com/@___k.h___/video/6853852432590507269,https://www.tiktok.com/@___k.h___/video/6853603750771313926,https://www.tiktok.com/@___k.h___/video/6849136025386634501,https://www.tiktok.com/@___k.h___/video/6848408316998077701,https://www.tiktok.com/@___k.h___/video/6845749110981610757,https://www.tiktok.com/@___k.h___/video/6845051640232348933,https://www.tiktok.com/@___k.h___/video/6843952828717845765,https://www.tiktok.com/@___k.h___/video/6843178424283024646,https://www.tiktok.com/@___k.h___/video/6842351590096129285,https://www.tiktok.com/@___k.h___/video/6819097554098212102,https://www.tiktok.com/@___k.h___/video/6817603572298140934,https://www.tiktok.com/@___k.h___/video/6817603270966578437,https://www.tiktok.com/@___k.h___/video/6814589292678089989,https://www.tiktok.com/@___k.h___/video/6813780672956697861",https://www.tiktok.com/@___k.h___,"Galicia, A Coruña",45-54,54.03,45.97,Viajes,Moda y Belleza,30 – 150€
__a716,0.875,0.125,0.75,985,1,6,"https://www.tiktok.com/@__a716/video/6966586357535771906,https://www.tiktok.com/@__a716/video/6966581880036642049",https://www.tiktok.com/@__a716,"Navarra, Pamplona",35-44,90.0,10.0,Ciencia y Tecnología,Educación,30 – 150€
77loveforever,0.0058355437665782,0.000126310471138,0.0057092332954401,1131,3601,1822,"https://www.tiktok.com/@77loveforever/video/7221429994201926917,https://www.tiktok.com/@77loveforever/video/7210004749729451270,https://www.tiktok.com/@77loveforever/video/7201163269686447365,https://www.tiktok.com/@77loveforever/video/7201095168685018373,https://www.tiktok.com/@77loveforever/video/7201092489309097222,https://www.tiktok.com/@77loveforever/video/7198554819097939206,https://www.tiktok.com/@77loveforever/video/7198551864328080646,https://www.tiktok.com/@77loveforever/video/7193003660702469382,https://www.tiktok.com/@77loveforever/video/7192996228114976005,https://www.tiktok.com/@77loveforever/video/7192936503658548486,https://www.tiktok.com/@77loveforever/video/7192853112313662725,https://www.tiktok.com/@77loveforever/video/7192277199427259654,https://www.tiktok.com/@77loveforever/video/7192259705295654150,https://www.tiktok.com/@77loveforever/video/7190608126394092806,https://www.tiktok.com/@77loveforever/video/7190296898970963206,https://www.tiktok.com/@77loveforever/video/7190294668918263045,https://www.tiktok.com/@77loveforever/video/7189710801161260293,https://www.tiktok.com/@77loveforever/video/7189646211631041797,https://www.tiktok.com/@77loveforever/video/7189561057764068613,https://www.tiktok.com/@77loveforever/video/7185904136125222150,https://www.tiktok.com/@77loveforever/video/7185404732477934853,https://www.tiktok.com/@77loveforever/video/7182879062711356677,https://www.tiktok.com/@77loveforever/video/7178131111225134342,https://www.tiktok.com/@77loveforever/video/7178121267550194950,https://www.tiktok.com/@77loveforever/video/7178112780174658822,https://www.tiktok.com/@77loveforever/video/7178109715883543814,https://www.tiktok.com/@77loveforever/video/7177618853713710342,https://www.tiktok.com/@77loveforever/video/7175062419247549702,https://www.tiktok.com/@77loveforever/video/7175050193631513862,https://www.tiktok.com/@77loveforever/video/7175015809067076870,https://www.tiktok.com/@77loveforever/video/7174941203434147077,https://www.tiktok.com/@77loveforever/video/7173241257467202822,https://www.tiktok.com/@77loveforever/video/7168878760144538886,https://www.tiktok.com/@77loveforever/video/7168773956768451845,https://www.tiktok.com/@77loveforever/video/7168399968347114758",https://www.tiktok.com/@77loveforever,"Galicia, A Coruña",25-34,83.03,16.97,Alimentación y Recetas,Salud y Bienestar,30 – 150€
tik.g,0.0949686957833597,0.006373991099042,0.0885947046843177,2946,15,62600,"https://www.tiktok.com/@tik.g/video/7260652276153404677,https://www.tiktok.com/@tik.g/video/7259455729378086150,https://www.tiktok.com/@tik.g/video/7258884923497401606,https://www.tiktok.com/@tik.g/video/7258749618102471942,https://www.tiktok.com/@tik.g/video/7258569333595442437,https://www.tiktok.com/@tik.g/video/7258224450120813830,https://www.tiktok.com/@tik.g/video/7257961204683902214,https://www.tiktok.com/@tik.g/video/7257225778486660357,https://www.tiktok.com/@tik.g/video/7256788703324933382",https://www.tiktok.com/@tik.g,"Navarra, Pamplona",45-54,66.3,33.7,Medio Ambiente,Animales,30 – 150€
qt_lxser...1,2.3461538461538463,0.1538461538461538,2.1923076923076925,2589,7,57,"https://www.tiktok.com/@qt_lxser...1/video/6934933118377938177,https://www.tiktok.com/@qt_lxser...1/video/6934616067956296961",https://www.tiktok.com/@qt_lxser...1,"Extremadura, Badajoz",35-44,61.07,38.93,Animales,Viajes,30 – 150€
dy4u6n4yo02o,0.0482913165266106,0.0009243697478991,0.0473669467787114,1020,1366,1780,"https://www.tiktok.com/@dy4u6n4yo02o/video/6981837078501903642,https://www.tiktok.com/@dy4u6n4yo02o/video/6981835165324627227,https://www.tiktok.com/@dy4u6n4yo02o/video/6979376209239100698,https://www.tiktok.com/@dy4u6n4yo02o/video/6978853495717891355,https://www.tiktok.com/@dy4u6n4yo02o/video/6978853004963269914,https://www.tiktok.com/@dy4u6n4yo02o/video/6978852365269011739,https://www.tiktok.com/@dy4u6n4yo02o/video/6977992689467788570,https://www.tiktok.com/@dy4u6n4yo02o/video/6977977264491334939,https://www.tiktok.com/@dy4u6n4yo02o/video/6977702534114823451,https://www.tiktok.com/@dy4u6n4yo02o/video/6976170614830681345,https://www.tiktok.com/@dy4u6n4yo02o/video/6975501002648702209,https://www.tiktok.com/@dy4u6n4yo02o/video/6973874860648893698,https://www.tiktok.com/@dy4u6n4yo02o/video/6971807416161733890,https://www.tiktok.com/@dy4u6n4yo02o/video/6971367959847636226,https://www.tiktok.com/@dy4u6n4yo02o/video/6971273655980526849,https://www.tiktok.com/@dy4u6n4yo02o/video/6970320715954294017,https://www.tiktok.com/@dy4u6n4yo02o/video/6970225435367984385,https://www.tiktok.com/@dy4u6n4yo02o/video/6970100852430245121,https://www.tiktok.com/@dy4u6n4yo02o/video/6969574959022705922,https://www.tiktok.com/@dy4u6n4yo02o/video/6969162258911939841,https://www.tiktok.com/@dy4u6n4yo02o/video/6969132078059310337,https://www.tiktok.com/@dy4u6n4yo02o/video/6968663490068270337,https://www.tiktok.com/@dy4u6n4yo02o/video/6968055172157164801,https://www.tiktok.com/@dy4u6n4yo02o/video/6967421652481182977,https://www.tiktok.com/@dy4u6n4yo02o/video/6967198678385741058,https://www.tiktok.com/@dy4u6n4yo02o/video/6967128876648500481,https://www.tiktok.com/@dy4u6n4yo02o/video/6966922712564419842,https://www.tiktok.com/@dy4u6n4yo02o/video/6966884945092463874,https://www.tiktok.com/@dy4u6n4yo02o/video/6966183089252994306,https://www.tiktok.com/@dy4u6n4yo02o/video/6966099406584089857,https://www.tiktok.com/@dy4u6n4yo02o/video/6966049366045904129,https://www.tiktok.com/@dy4u6n4yo02o/video/6965860563591204097,https://www.tiktok.com/@dy4u6n4yo02o/video/6965823581519514882,https://www.tiktok.com/@dy4u6n4yo02o/video/6965806386252909826,https://www.tiktok.com/@dy4u6n4yo02o/video/6965723735814917377",https://www.tiktok.com/@dy4u6n4yo02o,"La Rioja, Logroño",35-44,57.62,42.38,Psicología,Salud y Bienestar,30 – 150€
merve.kzcc,0.2679738562091503,0.003250682989245,0.2647231732199052,1377,21,12900,"https://www.tiktok.com/@merve.kzcc/video/7143909790744366337,https://www.tiktok.com/@merve.kzcc/video/7143339523433352449,https://www.tiktok.com/@merve.kzcc/video/7142228966110170370,https://www.tiktok.com/@merve.kzcc/video/7140605426286021889,https://www.tiktok.com/@merve.kzcc/video/7139984402460757250,https://www.tiktok.com/@merve.kzcc/video/7132988373148437762,https://www.tiktok.com/@merve.kzcc/video/7130985684789169410,https://www.tiktok.com/@merve.kzcc/video/7129850124406131970,https://www.tiktok.com/@merve.kzcc/video/7129595593256635650,https://www.tiktok.com/@merve.kzcc/video/7128429947361692929,https://www.tiktok.com/@merve.kzcc/video/7128149466690915586,https://www.tiktok.com/@merve.kzcc/video/7125923363582643458,https://www.tiktok.com/@merve.kzcc/video/7121126337531759874,https://www.tiktok.com/@merve.kzcc/video/7119884488842218753,https://www.tiktok.com/@merve.kzcc/video/7118885086497344769,https://www.tiktok.com/@merve.kzcc/video/7117779673681071361,https://www.tiktok.com/@merve.kzcc/video/7106989788238073090,https://www.tiktok.com/@merve.kzcc/video/7093917380635610369,https://www.tiktok.com/@merve.kzcc/video/7090311012833955074,https://www.tiktok.com/@merve.kzcc/video/7087909978916310274,https://www.tiktok.com/@merve.kzcc/video/7087134538299608321",https://www.tiktok.com/@merve.kzcc,"País Vasco, Bilbao",25-34,56.05,43.95,Maternidad y Crianza,Relaciones y Sexualidad,30 – 150€
mem_tv13,0.7528179551122195,0.0107588172426077,0.7420591378696118,2005,1047,52600,"https://www.tiktok.com/@mem_tv13/video/7069346344762133762,https://www.tiktok.com/@mem_tv13/video/7057401702999182593,https://www.tiktok.com/@mem_tv13/video/7056639712764710145,https://www.tiktok.com/@mem_tv13/video/7056638350169509122,https://www.tiktok.com/@mem_tv13/video/7056425838006340865,https://www.tiktok.com/@mem_tv13/video/7056383425778814210,https://www.tiktok.com/@mem_tv13/video/7056382683017989378,https://www.tiktok.com/@mem_tv13/video/7056374362882034946,https://www.tiktok.com/@mem_tv13/video/7056135282810162434,https://www.tiktok.com/@mem_tv13/video/7056134981671816449,https://www.tiktok.com/@mem_tv13/video/7049739729306275074,https://www.tiktok.com/@mem_tv13/video/7042714255996505345,https://www.tiktok.com/@mem_tv13/video/7024885689686756610,https://www.tiktok.com/@mem_tv13/video/7024484001071009025,https://www.tiktok.com/@mem_tv13/video/7024094616035118338,https://www.tiktok.com/@mem_tv13/video/7023999353362713858,https://www.tiktok.com/@mem_tv13/video/7023754422756953345,https://www.tiktok.com/@mem_tv13/video/7023733487177960706,https://www.tiktok.com/@mem_tv13/video/6980019718925094145,https://www.tiktok.com/@mem_tv13/video/6979999784383810817,https://www.tiktok.com/@mem_tv13/video/6979979812119022849,https://www.tiktok.com/@mem_tv13/video/6979953090493467905,https://www.tiktok.com/@mem_tv13/video/6979667644341390593,https://www.tiktok.com/@mem_tv13/video/6978031541381238018,https://www.tiktok.com/@mem_tv13/video/6976986627415543042,https://www.tiktok.com/@mem_tv13/video/6976696052527156481,https://www.tiktok.com/@mem_tv13/video/6976324251573849346,https://www.tiktok.com/@mem_tv13/video/6976208194003799298,https://www.tiktok.com/@mem_tv13/video/6976153833370111234,https://www.tiktok.com/@mem_tv13/video/6975954624331173121,https://www.tiktok.com/@mem_tv13/video/6975078733040389377,https://www.tiktok.com/@mem_tv13/video/6974794673441344769,https://www.tiktok.com/@mem_tv13/video/6974758182023400705,https://www.tiktok.com/@mem_tv13/video/6974689277179415809,https://www.tiktok.com/@mem_tv13/video/6974671268599565569",https://www.tiktok.com/@mem_tv13,"Comunidad Valenciana, Valencia",45-54,66.87,33.13,Moda y Belleza,Alimentación y Recetas,30 – 150€
